Name,Type,Magnitude,Distance,Constellation,RA,DEC,Other Names,Description,Url_image
NGC 3032,Galaxy,13.1,21200.0,Leo,09h52m,+29°14',,"From Madrid: NGC3032 will become visible around 22:12 (CEST), 78° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 05:54.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115749_b298027802ff.png
NGC 3033,Open cluster,8.8,0.9,Vela,09h48m,-56°25',Cr 212,From Madrid: NGC3033 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115832_adcaf9c45ed3.png
NGC 3034,Galaxy,8.4,3372.5,Ursa Major,09h55m,+69°40',"Cigar Galaxy, Ursa Major A, M 82, Arp 337","From Madrid: M82 is visible all night because it is circumpolar. It will be highest in the sky at dusk, becoming accessible around 22:12 (CEST), 60° above your northern horizon. It will be lost to dawn twilight around 06:12, 27° above your northern horizon.",https://in-the-sky.org/image.php?style=icon&obj=NGC3034
NGC 3035,Galaxy,13.5,–,Sextans,09h51m,-06°49',,"From Madrid: NGC3035 will become visible around 22:12 (CEST), 42° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 03:36.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_a960eedaa991.png
NGC 3036,Open cluster,–,1.2,Carina,09h49m,-62°40',,From Madrid: NGC3036 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_049c9318ee2c.png
NGC 3037,Galaxy,13.7,–,Hydra,09h51m,-27°00',,"From Madrid: NGC3037 will become visible around 22:12 (CEST), 22° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 02:16.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_b44937ef44e5.png
NGC 3038,Galaxy,11.7,37300.0,Antlia,09h51m,-32°45',,From Madrid: NGC3038 is not readily observable since it lies so far south that it will never rise more than 16° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115803_660b6fb1cc60.png
NGC 3039,Galaxy,14.2,–,Sextans,09h52m,+02°09',,"From Madrid: NGC3039 will become visible around 22:12 (CEST), 51° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:07.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115737_6ca8360ce039.png
NGC 3040,Galaxy,14.4,–,Leo,09h53m,+19°25',,"From Madrid: NGC3040 will become visible around 22:12 (CEST), 68° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 05:10.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_dec541f4813c.png
NGC 3041,Galaxy,11.6,–,Leo,09h53m,+16°40',,"From Madrid: NGC3041 will become visible around 22:12 (CEST), 66° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:59.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115804_c1334dcf9ad6.png
NGC 3042,Galaxy,14.0,–,Sextans,09h53m,+00°41',,"From Madrid: NGC3042 will become visible around 22:12 (CEST), 50° above your southern horizon, as dusk fades to darkness. It will then sink towards the horizon, setting at 04:03.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115740_b2d7c67c0c52.png
