Name,Type,Magnitude,Distance,Constellation,RA,DEC,Other Names,Description,Url_image
NGC 5118,Galaxy,14.4,–,Virgo,13h23m,+06°23',,"From Madrid: NGC5118 is visible in the evening sky, becoming accessible around 22:12 (CEST), 34° above your south-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:31, 55° above your southern horizon. It will continue to be observable until around 05:57, when it sinks below 21° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_abe3f0e48bce.png
NGC 5119,Galaxy,14.3,–,Virgo,13h24m,-12°16',,"From Madrid: NGC5119 is visible between 22:25 and 04:37. It will become accessible around 22:25, when it rises to an altitude of 21° above your south-eastern horizon. It will reach its highest point in the sky at 01:31, 37° above your southern horizon. It will become inaccessible around 04:37 when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115737_6d65761b1cae.png
NGC 5120,Open cluster,10.8,–,Centaurus,13h25m,-63°27',,From Madrid: NGC5120 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115812_e2a81b397032.png
NGC 5121,Galaxy,11.6,–,Centaurus,13h25m,-37°22',,From Madrid: NGC5121 is not readily observable since it lies so far south that it will never rise more than 12° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115803_c9bb3da48a0d.png
NGC 5122,Galaxy,13.9,–,Virgo,13h24m,-10°39',,"From Madrid: NGC5122 is visible between 22:17 and 04:46. It will become accessible around 22:17, when it rises to an altitude of 21° above your south-eastern horizon. It will reach its highest point in the sky at 01:32, 38° above your southern horizon. It will become inaccessible around 04:46 when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115740_0347cdfe4981.png
NGC 5123,Galaxy,13.5,–,Canes Venatici,13h23m,+43°05',,"From Madrid: NGC5123 is visible all night. It will become visible around 22:12 (CEST), 54° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:30, 87° above your northern horizon. It will be lost to dawn twilight around 06:12, 38° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115744_ba225187244b.png
NGC 5124,Galaxy,12.1,52200.0,Centaurus,13h24m,-30°18',,From Madrid: NGC5124 is not readily observable since it lies so far south that it will never rise more than 19° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115759_bf7bf6a7a357.png
NGC 5125,Galaxy,13.5,104000.0,Virgo,13h24m,+09°42',,"From Madrid: NGC5125 is visible in the evening sky, becoming accessible around 22:12 (CEST), 36° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:31, 59° above your southern horizon. It will continue to be observable until around 06:09, when it sinks below 21° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115744_f85bfb9fe934.png
NGC 5126,Galaxy,14.2,–,Centaurus,13h24m,-30°20',,From Madrid: NGC5126 is not readily observable since it lies so far south that it will never rise more than 19° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115738_10e2d6daf12d.png
NGC 5127,Galaxy,13.6,–,Canes Venatici,13h23m,+31°33',,"From Madrid: NGC5127 is visible all night. It will become visible around 22:12 (CEST), 49° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:31, 81° above your southern horizon. It will be lost to dawn twilight around 06:12, 33° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115743_dc840386934d.png
NGC 5128,Galaxy,7.0,8950.0,Centaurus,13h25m,-43°01',"Hamburger Galaxy, Centaurus A, C 77, Arp 153",From Madrid: the Hamburger Galaxy is not readily observable since it lies so far south that it will never rise more than 6° above the horizon.,https://in-the-sky.org/image.php?style=icon&obj=NGC5128
NGC 5129,Galaxy,12.1,–,Virgo,13h24m,+13°58',,"From Madrid: NGC5129 is visible all night. It will become visible around 22:12 (CEST), 39° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:31, 63° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115758_2bcf64321e5c.png
NGC 5130,Galaxy,14.2,58300.0,Virgo,13h24m,-10°12',,"From Madrid: NGC5130 is visible in the evening sky, becoming accessible around 22:12 (CEST), 22° above your south-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:32, 39° above your southern horizon. It will continue to be observable until around 04:49, when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115737_7d1d551ff345.png
NGC 5131,Galaxy,14.2,96900.0,Canes Venatici,13h23m,+30°59',,"From Madrid: NGC5131 is visible all night. It will become visible around 22:12 (CEST), 49° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:31, 80° above your southern horizon. It will be lost to dawn twilight around 06:12, 33° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115737_aad6647b239b.png
NGC 5132,Galaxy,14.2,–,Virgo,13h24m,+14°05',,"From Madrid: NGC5132 is visible all night. It will become visible around 22:12 (CEST), 39° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:32, 63° above your southern horizon. It will be lost to dawn twilight around 06:12, 24° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115737_c7ee25bd5019.png
NGC 5133,Galaxy,14.5,–,Virgo,13h24m,-04°04',,"From Madrid: NGC5133 is visible in the evening sky, becoming accessible around 22:12 (CEST), 26° above your south-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:32, 45° above your southern horizon. It will continue to be observable until around 05:18, when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_445f855e4c23.png
NGC 5134,Galaxy,11.8,7230.0,Virgo,13h25m,-21°08',,"From Madrid: NGC5134 is visible between 23:28 and 03:37. It will become accessible around 23:28, when it rises to an altitude of 21° above your south-eastern horizon. It will reach its highest point in the sky at 01:33, 28° above your southern horizon. It will become inaccessible around 03:37 when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115802_3324c9605071.png
NGC 5135,Galaxy,12.6,–,Hydra,13h25m,-29°50',,From Madrid: NGC5135 is not readily observable since it lies so far south that it will never rise more than 19° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115754_d9ff8b3b9cd5.png
NGC 5136,Galaxy,14.5,80800.0,Virgo,13h24m,+13°44',,"From Madrid: NGC5136 is visible all night. It will become visible around 22:12 (CEST), 39° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:32, 63° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_bdfce6761280.png
NGC 5137,Galaxy,15.6,–,Virgo,13h24m,+14°04',,"From Madrid: NGC5137 is visible all night. It will become visible around 22:12 (CEST), 39° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:32, 63° above your southern horizon. It will be lost to dawn twilight around 06:12, 24° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115724_4577c924240b.png
NGC 5138,Open cluster,7.6,2.0,Centaurus,13h27m,-59°02',Cr 270,From Madrid: NGC5138 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115844_57ded23543ac.png
NGC 5139,Globular cluster,3.6,5.3,Centaurus,13h26m,-47°28',"Omega Centauri, C 80, Mel 118",From Madrid: Omega Centauri is not readily observable since it lies so far south that it will never rise more than 2° above the horizon.,https://in-the-sky.org/image.php?style=icon&obj=NGC5139
NGC 5140,Galaxy,13.0,38650.0,Centaurus,13h26m,-33°52',,From Madrid: NGC5140 is not readily observable since it lies so far south that it will never rise more than 15° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115750_819035f498fc.png
NGC 5141,Galaxy,12.8,74000.0,Canes Venatici,13h24m,+36°22',,"From Madrid: NGC5141 is visible all night. It will become visible around 22:12 (CEST), 51° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:32, 85° above your southern horizon. It will be lost to dawn twilight around 06:12, 36° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115752_89548ef9a7fd.png
NGC 5142,Galaxy,14.0,74000.0,Canes Venatici,13h25m,+36°23',Mrk 452,"From Madrid: NGC5142 is visible all night. It will become visible around 22:12 (CEST), 51° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:32, 85° above your southern horizon. It will be lost to dawn twilight around 06:12, 36° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115740_7793b4231abc.png
NGC 5143,Galaxy,15.9,–,Canes Venatici,13h25m,+36°26',,"From Madrid: NGC5143 is visible all night. It will become visible around 22:12 (CEST), 51° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:32, 86° above your southern horizon. It will be lost to dawn twilight around 06:12, 36° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115720_fdf5077eb55e.png
NGC 5144,Galaxy,13.2,–,Ursa Minor,13h22m,+70°30',Mrk 256,"From Madrid: NGC5144 is visible all night because it is circumpolar. It will be highest in the sky at 01:30, 59° above your northern horizon. At dusk, it will become visible around 22:12 (CEST), 51° above your north-eastern horizon. It will be lost to dawn twilight around 06:12, 44° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115748_cc1b553df0f0.png
NGC 5145,Galaxy,13.5,–,Canes Venatici,13h25m,+43°16',,"From Madrid: NGC5145 is visible all night. It will become visible around 22:12 (CEST), 53° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:33, 87° above your northern horizon. It will be lost to dawn twilight around 06:12, 39° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115745_fb9f60b1c50d.png
NGC 5146,Galaxy,14.1,87900.0,Virgo,13h26m,-12°19',,"From Madrid: NGC5146 is visible between 22:28 and 04:40. It will become accessible around 22:28, when it rises to an altitude of 21° above your south-eastern horizon. It will reach its highest point in the sky at 01:34, 37° above your southern horizon. It will become inaccessible around 04:40 when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115739_8bfcac2c4800.png
NGC 5147,Galaxy,12.1,16300.0,Virgo,13h26m,+02°06',,"From Madrid: NGC5147 is visible in the evening sky, becoming accessible around 22:12 (CEST), 31° above your south-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:34, 51° above your southern horizon. It will continue to be observable until around 05:44, when it sinks below 21° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115758_1e53ad855b67.png
NGC 5148,Galaxy,15.4,–,Virgo,13h26m,+02°18',,"From Madrid: NGC5148 is visible in the evening sky, becoming accessible around 22:12 (CEST), 31° above your south-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:34, 51° above your southern horizon. It will continue to be observable until around 05:45, when it sinks below 21° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115726_5684a0a7701c.png
NGC 5149,Galaxy,13.7,–,Canes Venatici,13h26m,+35°56',,"From Madrid: NGC5149 is visible all night. It will become visible around 22:12 (CEST), 51° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:33, 85° above your southern horizon. It will be lost to dawn twilight around 06:12, 36° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_07092952dc23.png
NGC 5150,Galaxy,12.6,61200.0,Hydra,13h27m,-29°33',,From Madrid: NGC5150 is not readily observable since it lies so far south that it will never rise more than 20° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115754_9e38ee4d40f0.png
NGC 5151,Galaxy,14.6,103000.0,Coma Berenices,13h26m,+16°52',,"From Madrid: NGC5151 is visible all night. It will become visible around 22:12 (CEST), 41° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:34, 66° above your southern horizon. It will be lost to dawn twilight around 06:12, 26° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115733_4ce73231d830.png
NGC 5152,Galaxy,13.6,86700.0,Hydra,13h27m,-29°37',,From Madrid: NGC5152 is not readily observable since it lies so far south that it will never rise more than 19° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115744_b2798ecd3e44.png
NGC 5153,Galaxy,11.9,48000.0,Hydra,13h27m,-29°37',,From Madrid: NGC5153 is not readily observable since it lies so far south that it will never rise more than 19° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115800_58a242035e1a.png
NGC 5154,Galaxy,14.7,–,Canes Venatici,13h26m,+36°00',,"From Madrid: NGC5154 is visible all night. It will become visible around 22:12 (CEST), 51° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:34, 85° above your southern horizon. It will be lost to dawn twilight around 06:12, 36° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115732_477211a624fd.png
NGC 5155,Asterism,–,–,Centaurus,13h28m,-63°30',,From Madrid: NGC5155 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_82047a6f8111.png
NGC 5156,Galaxy,11.9,–,Centaurus,13h28m,-48°55',,From Madrid: NGC5156 is not readily observable since it lies so far south that it will never rise more than 0° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115801_b40a3cf153e8.png
NGC 5157,Galaxy,14.1,155000.0,Canes Venatici,13h27m,+32°01',,"From Madrid: NGC5157 is visible all night. It will become visible around 22:12 (CEST), 49° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:35, 81° above your southern horizon. It will be lost to dawn twilight around 06:12, 34° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115738_14ada34d8def.png
NGC 5158,Galaxy,13.8,–,Coma Berenices,13h27m,+17°46',,"From Madrid: NGC5158 is visible all night. It will become visible around 22:12 (CEST), 41° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:35, 67° above your southern horizon. It will be lost to dawn twilight around 06:12, 27° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115742_dbbf590137d5.png
NGC 5159,Galaxy,15.1,87100.0,Virgo,13h28m,+02°58',,"From Madrid: NGC5159 is visible in the evening sky, becoming accessible around 22:12 (CEST), 31° above your south-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:36, 52° above your southern horizon. It will continue to be observable until around 05:49, when it sinks below 21° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115729_1335802cd345.png
NGC 5160,Double star,–,–,Virgo,13h28m,+05°59',,"From Madrid: NGC5160 is visible from soon after it rises, at 19:12, until soon before it sets at 07:59.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_ac99c000f518.png
NGC 5161,Galaxy,11.5,–,Centaurus,13h29m,-33°10',,From Madrid: NGC5161 is not readily observable since it lies so far south that it will never rise more than 16° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115804_9ae94d2bd6a0.png
NGC 5162,Galaxy,13.6,98800.0,Virgo,13h29m,+11°00',,"From Madrid: NGC5162 is visible all night. It will become visible around 22:12 (CEST), 36° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 60° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115743_b470bb6c03cd.png
NGC 5163,Galaxy,14.8,–,Ursa Major,13h26m,+52°45',,"From Madrid: NGC5163 is visible all night. It will become visible around 22:12 (CEST), 54° above your north-eastern horizon, as dusk fades to darkness. It will be lost to dawn twilight around 06:12, 42° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115732_467acb16db53.png
NGC 5164,Galaxy,14.6,–,Ursa Major,13h27m,+55°29',Mrk 257,"From Madrid: NGC5164 is visible all night. It will become visible around 22:12 (CEST), 54° above your north-eastern horizon, as dusk fades to darkness. It will be lost to dawn twilight around 06:12, 43° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_a2f9b4131bb5.png
NGC 5165,Galaxy,14.6,–,Virgo,13h28m,+11°23',,"From Madrid: NGC5165 is visible all night. It will become visible around 22:12 (CEST), 37° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:36, 60° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_0cc4234363fd.png
NGC 5166,Galaxy,14.3,61200.0,Canes Venatici,13h28m,+32°01',,"From Madrid: NGC5166 is visible all night. It will become visible around 22:12 (CEST), 49° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:36, 81° above your southern horizon. It will be lost to dawn twilight around 06:12, 34° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115736_5ad45391c071.png
NGC 5167,Galaxy,14.6,–,Virgo,13h28m,+12°42',,"From Madrid: NGC5167 is visible all night. It will become visible around 22:12 (CEST), 38° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:36, 62° above your southern horizon. It will be lost to dawn twilight around 06:12, 24° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115733_a6700463e44c.png
NGC 5168,Open cluster,9.1,1.8,Centaurus,13h31m,-60°56',Cr 273,From Madrid: NGC5168 is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115829_f7bc633d45bd.png
NGC 5169,Galaxy,14.6,32550.0,Canes Venatici,13h28m,+46°40',,"From Madrid: NGC5169 is visible all night. It will become visible around 22:12 (CEST), 53° above your north-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:35, 83° above your northern horizon. It will be lost to dawn twilight around 06:12, 41° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_041c3885742f.png
NGC 5170,Galaxy,11.2,–,Virgo,13h29m,-17°57',,"From Madrid: NGC5170 is visible between 23:07 and 04:07. It will become accessible around 23:07, when it rises to an altitude of 21° above your south-eastern horizon. It will reach its highest point in the sky at 01:37, 31° above your southern horizon. It will become inaccessible around 04:07 when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115807_53a4d2cc3116.png
NGC 5171,Galaxy,12.8,–,Virgo,13h29m,+11°44',,"From Madrid: NGC5171 is visible all night. It will become visible around 22:12 (CEST), 37° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 61° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115752_82f1fedd6bf9.png
NGC 5172,Galaxy,12.0,–,Coma Berenices,13h29m,+17°03',,"From Madrid: NGC5172 is visible all night. It will become visible around 22:12 (CEST), 40° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 66° above your southern horizon. It will be lost to dawn twilight around 06:12, 26° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115800_d21535ce0da5.png
NGC 5173,Galaxy,13.4,–,Canes Venatici,13h28m,+46°35',,"From Madrid: NGC5173 is visible all night. It will become visible around 22:12 (CEST), 53° above your north-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:36, 83° above your northern horizon. It will be lost to dawn twilight around 06:12, 41° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115746_cef0f07e3c31.png
NGC 5174,Duplicate,–,98800.0,Virgo,13h29m,+11°00',,"From Madrid: NGC5174 is visible from soon after it rises, at 18:55, until soon before it sets at 08:18.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_8b8759298704.png
NGC 5175,Star,–,–,Virgo,13h29m26s,"+10°59'42""",,"From Madrid: NGC5175 is visible from soon after it rises, at 18:56, until soon before it sets at 08:18.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115320_f73a21a9e3c8.png
NGC 5176,Galaxy,15.4,119000.0,Virgo,13h29m,+11°46',,"From Madrid: NGC5176 is visible all night. It will become visible around 22:12 (CEST), 37° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 61° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115725_c23030c9dd6e.png
NGC 5177,Galaxy,15.3,101000.0,Virgo,13h29m,+11°47',,"From Madrid: NGC5177 is visible all night. It will become visible around 22:12 (CEST), 37° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 61° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115726_0b5a5e4be81e.png
NGC 5178,Galaxy,14.8,–,Virgo,13h29m,+11°37',,"From Madrid: NGC5178 is visible all night. It will become visible around 22:12 (CEST), 37° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 61° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115731_9bc6e134c4fd.png
NGC 5179,Galaxy,14.9,119000.0,Virgo,13h29m,+11°44',Mrk 1349,"From Madrid: NGC5179 is visible all night. It will become visible around 22:12 (CEST), 37° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 61° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115731_597696ccc904.png
NGC 5180,Galaxy,13.0,105000.0,Coma Berenices,13h29m,+16°49',,"From Madrid: NGC5180 is visible all night. It will become visible around 22:12 (CEST), 40° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 66° above your southern horizon. It will be lost to dawn twilight around 06:12, 26° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115750_337f846316cb.png
NGC 5181,Galaxy,14.5,114000.0,Virgo,13h29m,+13°18',,"From Madrid: NGC5181 is visible all night. It will become visible around 22:12 (CEST), 38° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 62° above your southern horizon. It will be lost to dawn twilight around 06:12, 24° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_b62534894320.png
NGC 5182,Galaxy,12.6,39400.0,Hydra,13h30m,-28°09',,From Madrid: NGC5182 is not readily observable since it lies so far south that it will never rise more than 21° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115754_0f5b2b532b16.png
NGC 5183,Galaxy,13.7,51550.0,Virgo,13h30m,-01°43',,"From Madrid: NGC5183 is visible in the evening sky, becoming accessible around 22:12 (CEST), 27° above your south-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 47° above your southern horizon. It will continue to be observable until around 05:33, when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115743_dd887099c2b3.png
NGC 5184,Galaxy,13.5,58750.0,Virgo,13h30m,-01°39',,"From Madrid: NGC5184 is visible in the evening sky, becoming accessible around 22:12 (CEST), 27° above your south-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 47° above your southern horizon. It will continue to be observable until around 05:33, when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115744_59c0af200740.png
NGC 5185,Galaxy,14.5,–,Virgo,13h30m,+13°24',,"From Madrid: NGC5185 is visible all night. It will become visible around 22:12 (CEST), 38° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 62° above your southern horizon. It will be lost to dawn twilight around 06:12, 24° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115735_3101ba6207cc.png
NGC 5186,Galaxy,15.7,–,Virgo,13h30m,+12°10',,"From Madrid: NGC5186 is visible all night. It will become visible around 22:12 (CEST), 37° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 61° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115723_8352bce2ce9f.png
NGC 5187,Galaxy,14.6,109000.0,Canes Venatici,13h29m,+31°07',,"From Madrid: NGC5187 is visible all night. It will become visible around 22:12 (CEST), 48° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 80° above your southern horizon. It will be lost to dawn twilight around 06:12, 34° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115734_bc92906d3e93.png
NGC 5188,Galaxy,12.0,23600.0,Centaurus,13h31m,-34°47',,From Madrid: NGC5188 is not readily observable since it lies so far south that it will never rise more than 14° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115759_ada852a029be.png
NGC 5189,Planetary nebula,10.3,–,Musca,13h33m,-65°58',Spiral Planetary Nebula,From Madrid: the Spiral Planetary Nebula is not observable because it lies so far south that it never rises above the horizon.,https://in-the-sky.org/image.php?style=icon&obj=NGC5189
NGC 5190,Galaxy,13.1,75950.0,Coma Berenices,13h30m,+18°08',,"From Madrid: NGC5190 is visible all night. It will become visible around 22:12 (CEST), 41° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:38, 67° above your southern horizon. It will be lost to dawn twilight around 06:12, 27° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115748_92720dd0901d.png
NGC 5191,Galaxy,14.8,119000.0,Virgo,13h30m,+11°12',,"From Madrid: NGC5191 is visible all night. It will become visible around 22:12 (CEST), 36° above your eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:38, 60° above your southern horizon. It will be lost to dawn twilight around 06:12, 23° above your western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115732_844a1d87485a.png
NGC 5192,Galaxy,15.3,–,Virgo,13h30m,-01°46',,"From Madrid: NGC5192 is visible in the evening sky, becoming accessible around 22:12 (CEST), 27° above your south-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:38, 47° above your southern horizon. It will continue to be observable until around 05:33, when it sinks below 21° above your south-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115727_27ab202d1b90.png
NGC 5193,Galaxy,11.7,57800.0,Centaurus,13h31m,-33°14',,From Madrid: NGC5193 is not readily observable since it lies so far south that it will never rise more than 16° above the horizon.,https://in-the-sky.org/image.php?style=medium&userimg=19910715_115802_8c5a0d3c7903.png
NGC 5194,Galaxy,8.4,–,Canes Venatici,13h29m,+47°11',,"From Madrid: NGC5194 is visible all night. It will become visible around 22:12 (CEST), 53° above your north-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 83° above your northern horizon. It will be lost to dawn twilight around 06:12, 41° above your north-western horizon.",https://in-the-sky.org/image.php?style=medium&userimg=19910715_115836_9566a6e1d9cc.png
NGC 5195,Galaxy,9.6,–,Canes Venatici,13h29m,+47°15',Messier 51B,"From Madrid: Messier 51B is visible all night. It will become visible around 22:12 (CEST), 53° above your north-eastern horizon, as dusk fades to darkness. It will then reach its highest point in the sky at 01:37, 83° above your northern horizon. It will be lost to dawn twilight around 06:12, 41° above your north-western horizon.",https://in-the-sky.org/image.php?style=icon&obj=NGC5195
